epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,4146.35,0.75119,0.47762,1.17171,0.9617,0.98197,0.9853,0.79696,0.91719,0.35891,1.34271,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924
83,4195.96,0.74635,0.46962,1.16751,0.96422,0.98316,0.98481,0.79654,0.92029,0.35713,1.34469,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528
84,4246.91,0.7493,0.47121,1.17181,0.96722,0.9838,0.98587,0.79722,0.91679,0.35785,1.34082,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132
85,4296.66,0.74821,0.46617,1.1676,0.95909,0.98647,0.98617,0.79693,0.9156,0.35368,1.34045,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736
86,4347,0.74847,0.46895,1.16687,0.94373,0.98883,0.98416,0.79403,0.91557,0.35365,1.34102,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
87,4397.19,0.73668,0.46923,1.16234,0.96456,0.98436,0.98551,0.8004,0.91861,0.35814,1.3448,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944
88,4446.62,0.74027,0.4618,1.16211,0.95985,0.986,0.98578,0.79466,0.92387,0.35837,1.34944,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548
89,4497.77,0.74036,0.46638,1.16495,0.96117,0.98683,0.9857,0.79601,0.92112,0.3582,1.34683,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152
90,4547.3,0.73439,0.46181,1.16074,0.96154,0.98403,0.98613,0.79878,0.92174,0.35482,1.34641,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756
91,4598.4,0.74006,0.46089,1.16362,0.97014,0.98156,0.98633,0.79674,0.92636,0.3548,1.34935,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
92,4648.12,0.73738,0.45733,1.15913,0.97346,0.98088,0.9869,0.80015,0.92685,0.35208,1.3522,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964
93,4698,0.7364,0.45939,1.16183,0.97422,0.97806,0.98637,0.79785,0.92782,0.35274,1.35447,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568
94,4748.57,0.7357,0.44967,1.16263,0.96753,0.98446,0.98621,0.79622,0.92702,0.3517,1.35438,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172
95,4797.95,0.72908,0.45437,1.15767,0.97205,0.98186,0.98628,0.79693,0.92504,0.35046,1.35329,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776
96,4848.62,0.73606,0.45113,1.15725,0.96973,0.98132,0.9861,0.7963,0.92654,0.35399,1.35708,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
97,4898.29,0.73234,0.45799,1.15937,0.97207,0.98017,0.98583,0.79866,0.92491,0.35361,1.35644,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984
98,4948.66,0.73073,0.45661,1.16146,0.96951,0.98229,0.98569,0.79837,0.92503,0.35153,1.35687,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588
99,4998.8,0.72329,0.45555,1.15352,0.96553,0.98379,0.98605,0.79716,0.92409,0.34947,1.35653,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192
100,5048.24,0.72666,0.44783,1.15008,0.96107,0.98519,0.98594,0.79556,0.92505,0.35087,1.35713,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796
101,5099.21,0.72675,0.44464,1.15374,0.9579,0.98622,0.98611,0.79802,0.92396,0.35165,1.35575,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
102,5148.69,0.72547,0.44591,1.15403,0.9604,0.98334,0.98583,0.80333,0.92371,0.35097,1.35385,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004
103,5200.03,0.72535,0.44567,1.15453,0.96065,0.9853,0.98551,0.80272,0.92593,0.35167,1.35571,0.0178824,0.0059608,0.0178824,0.0059608,0.0178824,0.0059608,0.0178824,0.0059608
104,5250.23,0.71786,0.43748,1.1476,0.95996,0.98196,0.98567,0.8021,0.92628,0.35262,1.35578,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212
105,5300.89,0.71812,0.43647,1.14944,0.97243,0.96753,0.985,0.80057,0.92599,0.3511,1.35636,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816
106,5352.02,0.71978,0.43422,1.1504,0.9608,0.98248,0.98653,0.80086,0.92587,0.35224,1.35709,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
107,5401.96,0.71762,0.44405,1.15138,0.96068,0.98274,0.98637,0.79951,0.9263,0.352,1.35794,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024
108,5452.7,0.71687,0.43722,1.15321,0.9608,0.98399,0.9861,0.79909,0.92767,0.35251,1.35891,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628
109,5502.13,0.71499,0.44073,1.14414,0.96232,0.98319,0.98622,0.79859,0.92996,0.35262,1.36014,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232
110,5552.02,0.7122,0.43082,1.14452,0.96155,0.98324,0.98643,0.79924,0.93008,0.35274,1.3607,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836
111,5601.96,0.71572,0.439,1.1431,0.96282,0.98465,0.98607,0.79832,0.92967,0.3534,1.36073,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
112,5651.4,0.71353,0.43321,1.14496,0.96151,0.98382,0.98582,0.79938,0.92997,0.35427,1.36065,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
